material,total_length_m
AC,859946.96
PE80,517564.54
PE100,356153.12
CI,341791.65
STCL,324845.16
Unknown,297400.89
CU,294197.44
UPVC,189559.6
uPVC,146137.33
GI,130462.67
PVC,84278.22
ST,68889.17
DICL,67502.76
MPVC,61515.35
PE,32168.86
CICL,27095.75
DI,23224.43
OPVC,18440.56
STBL,17529.829999999998
GS,17459.16
RCON,8437.52
mPVC,8187.150000000001
CIBL,1405.59
PITF,1131.6
STEL,1056.52
AC-E,591.79
AC-F,590.09
BUTYL,444.62
LDPE,439.53000000000003
SS316,323.58
ABS,274.34000000000003
DIEP,185.14999999999998
Cu,143.98000000000002
EW,80.58
HDPE,73.53999999999999
ST-EN,45.75
uPVC-S2,8.71
BRASS,4.6
STEN,4.52
MDPE,3.98
SS304,2.04
